State,City,Date Local,NO2 Mean,NO2 AQI,O3 Mean,O3 AQI,SO2 Mean,SO2 AQI,CO Mean,CO AQI
New York,New York,5/5/2000,42.5,57,0.018417,31,8.8,21,0.866667,
New York,New York,5/5/2000,42.5,57,0.018417,31,8.8,21,0.7875,13
New York,New York,5/5/2000,42.5,57,0.018417,31,9.6,,0.866667,
New York,New York,5/5/2000,42.5,57,0.018417,31,9.6,,0.7875,13
New York,New York,5/6/2000,42.875,81,0.034333,67,9.5,37,1.1875,
New York,New York,5/6/2000,42.875,81,0.034333,67,9.5,37,1.195833,24
New York,New York,5/6/2000,42.875,81,0.034333,67,9.4625,,1.1875,
New York,New York,5/6/2000,42.875,81,0.034333,67,9.4625,,1.195833,24
New York,New York,5/7/2000,29,53,0.036583,80,7.041667,30,0.720833,
New York,New York,5/7/2000,29,53,0.036583,80,7.041667,30,0.8375,15
New York,New York,5/7/2000,29,53,0.036583,80,7,,0.720833,
New York,New York,5/7/2000,29,53,0.036583,80,7,,0.8375,15
New York,New York,5/8/2000,49.958333,86,0.02775,48,12.045455,37,0.995455,
New York,New York,5/8/2000,49.958333,86,0.02775,48,12.045455,37,0.916667,14
New York,New York,5/8/2000,49.958333,86,0.02775,48,12.316667,,0.995455,
New York,New York,5/8/2000,49.958333,86,0.02775,48,12.316667,,0.916667,14
New York,New York,5/9/2000,36.619048,52,0.042125,71,9.666667,27,0.708333,
New York,New York,5/9/2000,36.619048,52,0.042125,71,9.666667,27,0.795833,14
New York,New York,5/9/2000,36.619048,52,0.042125,71,9.6375,,0.708333,
New York,New York,5/9/2000,36.619048,52,0.042125,71,9.6375,,0.795833,14
New York,New York,5/10/2000,19.708333,32,0.017542,22,2.958333,9,0.504167,
New York,New York,5/10/2000,19.708333,32,0.017542,22,2.958333,9,0.533333,8
New York,New York,5/10/2000,19.708333,32,0.017542,22,2.925,,0.504167,
New York,New York,5/10/2000,19.708333,32,0.017542,22,2.925,,0.533333,8
New York,New York,5/11/2000,24.25,43,0.019,31,4.958333,14,0.5625,
New York,New York,5/11/2000,24.25,43,0.019,31,4.958333,14,0.566667,7
New York,New York,5/11/2000,24.25,43,0.019,31,4.9375,,0.5625,
New York,New York,5/11/2000,24.25,43,0.019,31,4.9375,,0.566667,7
New York,New York,5/12/2000,30.291667,46,0.017333,23,3.75,11,0.6875,
New York,New York,5/12/2000,30.291667,46,0.017333,23,3.75,11,0.691667,9
New York,New York,5/12/2000,30.291667,46,0.017333,23,3.7125,,0.6875,
New York,New York,5/12/2000,30.291667,46,0.017333,23,3.7125,,0.691667,9
New York,New York,5/13/2000,20.125,36,0.02425,26,3.416667,9,0.625,
New York,New York,5/13/2000,20.125,36,0.02425,26,3.416667,9,0.6125,9
New York,New York,5/13/2000,20.125,36,0.02425,26,3.3875,,0.625,
New York,New York,5/13/2000,20.125,36,0.02425,26,3.3875,,0.6125,9
New York,New York,5/14/2000,20.791667,46,0.031375,36,5.125,11,0.533333,
New York,New York,5/14/2000,20.791667,46,0.031375,36,5.125,11,0.566667,9
New York,New York,5/14/2000,20.791667,46,0.031375,36,5.0875,,0.533333,
New York,New York,5/14/2000,20.791667,46,0.031375,36,5.0875,,0.566667,9
New York,New York,5/15/2000,25.416667,51,0.023708,34,6.272727,21,0.466667,
New York,New York,5/15/2000,25.416667,51,0.023708,34,6.272727,21,0.466667,7
New York,New York,5/15/2000,25.416667,51,0.023708,34,6.4,,0.466667,
New York,New York,5/15/2000,25.416667,51,0.023708,34,6.4,,0.466667,7
